name,salary,min_salary,max_salary,currency_salary,link,source
Разработчик Creatio,,,,,https://spb.hh.ru/vacancy/77581156?from=vacancy_search_list&query=python,https://hh.ru/
Ведущий программист DS,,,,,https://spb.hh.ru/vacancy/77321279?from=vacancy_search_list&query=python,https://hh.ru/
Инженер-Конструктор ПГС (AUTODESK REVIT),,,,,https://spb.hh.ru/vacancy/54687546?from=vacancy_search_list&query=python,https://hh.ru/
Разработчик встроенного микропрограммного обеспечения,,,,,https://spb.hh.ru/vacancy/77471496?from=vacancy_search_list&query=python,https://hh.ru/
"Заведующий сектором пространственных данных (г. Салехард, ЯНАО)",,,,,https://spb.hh.ru/vacancy/76794324?from=vacancy_search_list&query=python,https://hh.ru/
Системный администратор,,,,,https://spb.hh.ru/vacancy/77444139?from=vacancy_search_list&query=python,https://hh.ru/
Middle/Senior Computer Vision Engineer,,,,,https://spb.hh.ru/vacancy/77398262?from=vacancy_search_list&query=python,https://hh.ru/
Финансовый менеджер,30 000 – 50 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77723410?from=vacancy_search_list&query=python,https://hh.ru/
Системный Аналитик,от 90 000 руб.,90000.0,,руб.,https://spb.hh.ru/vacancy/77406922?from=vacancy_search_list&query=python,https://hh.ru/
Педагог дополнительного образования,,,,,https://spb.hh.ru/vacancy/77592634?from=vacancy_search_list&query=python,https://hh.ru/
Руководитель группы сетевых инженеров ccnp,,,,,https://spb.hh.ru/vacancy/77530463?from=vacancy_search_list&query=python,https://hh.ru/
Инженер АСУ ТП,,,,,https://spb.hh.ru/vacancy/77476535?from=vacancy_search_list&query=python,https://hh.ru/
Senior Software Design Engineer in Test (Python),,,,,https://spb.hh.ru/vacancy/77207602?from=vacancy_search_list&query=python,https://hh.ru/
DevOps инженер,,,,,https://spb.hh.ru/vacancy/76503776?from=vacancy_search_list&query=python,https://hh.ru/
Application security specialist,,,,,https://spb.hh.ru/vacancy/76539544?from=vacancy_search_list&query=python,https://hh.ru/
Инженер DevOps,,,,,https://spb.hh.ru/vacancy/77155085?from=vacancy_search_list&query=python,https://hh.ru/
Системный администратор 2 линия,,,,,https://spb.hh.ru/vacancy/69369250?from=vacancy_search_list&query=python,https://hh.ru/
Senior DevOps Engineer,до 180 000 руб.,,180000.0,руб.,https://spb.hh.ru/vacancy/77114181?from=vacancy_search_list&query=python,https://hh.ru/
Инженер-конструктор 2 категории (Группа расчетов компрессоров),,,,,https://spb.hh.ru/vacancy/77339268?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик по сетевой безопасности,,,,,https://spb.hh.ru/vacancy/75936842?from=vacancy_search_list&query=python,https://hh.ru/
"Ведущий инженер АСУ ТП Yokogawa (Centum, Prosafe, Stardom)",от 120 000 руб.,120000.0,,руб.,https://spb.hh.ru/vacancy/55056476?from=vacancy_search_list&query=python,https://hh.ru/
Ведущий специалист отдела виртуализации,,,,,https://spb.hh.ru/vacancy/77130858?from=vacancy_search_list&query=python,https://hh.ru/
Ведущий инженер АСУТП (ПТК DeltaV),от 120 000 руб.,120000.0,,руб.,https://spb.hh.ru/vacancy/69316288?from=vacancy_search_list&query=python,https://hh.ru/
Системный архитектор (информационная безопасность),,,,,https://spb.hh.ru/vacancy/76956883?from=vacancy_search_list&query=python,https://hh.ru/
Руководитель группы разработки С++,,,,,https://spb.hh.ru/vacancy/76954547?from=vacancy_search_list&query=python,https://hh.ru/
Руководитель группы разработки С++,,,,,https://spb.hh.ru/vacancy/76954494?from=vacancy_search_list&query=python,https://hh.ru/
ML Engineer (Computer Vision),,,,,https://spb.hh.ru/vacancy/76558811?from=vacancy_search_list&query=python,https://hh.ru/
Инженер по внедрению и техподдержке телекоммуникационного биллинга (удаленно),до 170 000 руб.,,170000.0,руб.,https://spb.hh.ru/vacancy/77611405?from=vacancy_search_list&query=python,https://hh.ru/
Инженер по тестированию,,,,,https://spb.hh.ru/vacancy/77619088?from=vacancy_search_list&query=python,https://hh.ru/
ML Engineer (Natural Language Processing),,,,,https://spb.hh.ru/vacancy/76561183?from=vacancy_search_list&query=python,https://hh.ru/
"Эксперт в Команду ""Чат-бот""",,,,,https://spb.hh.ru/vacancy/76911066?from=vacancy_search_list&query=python,https://hh.ru/
DevOps инженер,,,,,https://spb.hh.ru/vacancy/76762935?from=vacancy_search_list&query=python,https://hh.ru/
Техлид / Tech Lead BigData,,,,,https://spb.hh.ru/vacancy/75747550?from=vacancy_search_list&query=python,https://hh.ru/
PHP-разработчик,,,,,https://spb.hh.ru/vacancy/74123858?from=vacancy_search_list&query=python,https://hh.ru/
Старший аналитик SOC (L2),,,,,https://spb.hh.ru/vacancy/76646711?from=vacancy_search_list&query=python,https://hh.ru/
Разработчик баз данных (PostgreSQL),,,,,https://spb.hh.ru/vacancy/77556504?from=vacancy_search_list&query=python,https://hh.ru/
"Инженер-программист (BI, Qlik Sense)",40 000 – 60 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77528497?from=vacancy_search_list&query=python,https://hh.ru/
